Typecode ROC HalfROC Seq ROCpin TrLink TrCell iring iphi t trace localROC localHalfROC 
TH-L34S2 2 1 10 110 3 1 12 14 1 0 1 2
TH-L34S2 2 1 13 113 3 1 12 16 1 0 1 2
TH-L34S2 2 1 18 118 3 2 12 13 1 0 1 2
TH-L34S2 2 1 19 119 3 2 12 12 1 0 1 2
TH-L34S2 2 1 22 122 3 2 12 11 1 0 1 2
TH-L34S2 2 1 27 127 3 3 12 9 1 0 1 2
TH-L34S2 2 1 28 128 3 3 12 8 1 0 1 2
TH-L34S2 2 1 31 131 3 3 12 10 1 0 1 2
TH-L34S3 0 0 0 0 1 0 17 26 1 0 1 1
TH-L34S3 0 0 1 1 1 0 16 26 1 0 1 1
TH-L34S3 0 0 2 2 1 0 17 27 1 0 1 1
TH-L34S3 0 0 3 3 1 0 16 27 1 0 1 1
TH-L34S3 0 0 4 4 1 0 17 25 1 0 1 1
TH-L34S3 0 0 5 5 1 0 16 25 1 0 1 1
TH-L34S3 0 0 6 6 1 0 15 27 1 0 1 1
TH-L34S3 0 0 7 7 1 0 15 26 1 0 1 1
TH-L34S3 0 0 8 8 1 0 15 25 1 0 1 1
TH-L34S3 0 0 9 9 1 1 17 23 1 0 1 1
TH-L34S3 0 0 10 10 1 1 17 22 1 0 1 1
TH-L34S3 0 0 11 11 1 1 16 22 1 0 1 1
TH-L34S3 0 0 12 12 1 1 16 23 1 0 1 1
TH-L34S3 0 0 13 13 1 1 17 24 1 0 1 1
TH-L34S3 0 0 14 14 1 1 16 24 1 0 1 1
TH-L34S3 0 0 15 15 1 1 15 22 1 0 1 1
TH-L34S3 0 0 16 16 1 1 15 23 1 0 1 1
TH-L34S3 0 0 17 17 1 1 15 24 1 0 1 1
TH-L34S3 0 0 18 18 1 2 17 21 1 0 1 1
TH-L34S3 0 0 19 19 1 2 17 20 1 0 1 1
TH-L34S3 0 0 20 20 1 2 16 20 1 0 1 1
TH-L34S3 0 0 21 21 1 2 16 21 1 0 1 1
TH-L34S3 0 0 22 22 1 2 17 19 1 0 1 1
TH-L34S3 0 0 23 23 1 2 16 19 1 0 1 1
TH-L34S3 0 0 24 24 1 2 15 21 1 0 1 1
TH-L34S3 0 0 25 25 1 2 15 20 1 0 1 1
TH-L34S3 0 0 26 26 1 2 15 19 1 0 1 1
TH-L34S3 0 0 27 27 1 3 17 17 1 0 1 1
TH-L34S3 0 0 28 28 1 3 17 16 1 0 1 1
TH-L34S3 0 0 29 29 1 3 16 16 1 0 1 1
TH-L34S3 0 0 30 30 1 3 16 17 1 0 1 1
TH-L34S3 0 0 31 31 1 3 17 18 1 0 1 1
TH-L34S3 0 0 32 32 1 3 16 18 1 0 1 1
TH-L34S3 0 0 33 33 1 3 15 16 1 0 1 1
TH-L34S3 0 0 34 34 1 3 15 17 1 0 1 1
TH-L34S3 0 0 35 35 1 3 15 18 1 0 1 1
TH-L34S3 0 1 0 0 1 0 11 26 1 0 1 1
TH-L34S3 0 1 1 1 1 0 10 26 1 0 1 1
TH-L34S3 0 1 2 2 1 0 11 27 1 0 1 1
TH-L34S3 0 1 3 3 1 0 10 27 1 0 1 1
TH-L34S3 0 1 4 4 1 0 11 25 1 0 1 1
TH-L34S3 0 1 5 5 1 0 10 25 1 0 1 1
TH-L34S3 0 1 6 6 1 0 9 27 1 0 1 1
TH-L34S3 0 1 7 7 1 0 9 26 1 0 1 1
TH-L34S3 0 1 8 8 1 0 9 25 1 0 1 1
TH-L34S3 0 1 9 9 1 1 11 23 1 0 1 1
TH-L34S3 0 1 10 10 1 1 11 22 1 0 1 1
TH-L34S3 0 1 11 11 1 1 10 22 1 0 1 1
TH-L34S3 0 1 12 12 1 1 10 23 1 0 1 1
TH-L34S3 0 1 13 13 1 1 11 24 1 0 1 1
TH-L34S3 0 1 14 14 1 1 10 24 1 0 1 1
TH-L34S3 0 1 15 15 1 1 9 22 1 0 1 1
TH-L34S3 0 1 16 16 1 1 9 23 1 0 1 1
TH-L34S3 0 1 17 17 1 1 9 24 1 0 1 1
TH-L34S3 0 1 18 18 1 2 11 21 1 0 1 1
TH-L34S3 0 1 19 19 1 2 11 20 1 0 1 1
TH-L34S3 0 1 20 20 1 2 10 20 1 0 1 1
TH-L34S3 0 1 21 21 1 2 10 21 1 0 1 1
TH-L34S3 0 1 22 22 1 2 11 19 1 0 1 1
TH-L34S3 0 1 23 23 1 2 10 19 1 0 1 1
TH-L34S3 0 1 24 24 1 2 9 21 1 0 1 1
TH-L34S3 0 1 25 25 1 2 9 20 1 0 1 1
TH-L34S3 0 1 26 26 1 2 9 19 1 0 1 1
TH-L34S3 0 1 27 27 1 3 11 17 1 0 1 1
TH-L34S3 0 1 28 28 1 3 11 16 1 0 1 1
TH-L34S3 0 1 29 29 1 3 10 16 1 0 1 1
TH-L34S3 0 1 30 30 1 3 10 17 1 0 1 1
TH-L34S3 0 1 31 31 1 3 11 18 1 0 1 1
TH-L34S3 0 1 32 32 1 3 10 18 1 0 1 1
TH-L34S3 0 1 33 33 1 3 9 16 1 0 1 1
TH-L34S3 0 1 34 34 1 3 9 17 1 0 1 1
TH-L34S3 0 1 35 35 1 3 9 18 1 0 1 1
TH-L34S3 1 0 6 106 3 0 5 27 1 0 2 1
TH-L34S3 1 0 7 107 3 0 5 26 1 0 2 1
TH-L34S3 1 0 8 108 3 0 5 25 1 0 2 1
TH-L34S3 1 0 15 115 3 1 5 22 1 0 2 1
TH-L34S3 1 0 16 116 3 1 5 23 1 0 2 1
TH-L34S3 1 0 17 117 3 1 5 24 1 0 2 1
TH-L34S3 1 0 24 124 3 2 5 21 1 0 2 1
TH-L34S3 1 0 25 125 3 2 5 20 1 0 2 1
TH-L34S3 1 0 26 126 3 2 5 19 1 0 2 1
TH-L34S3 1 0 33 133 3 3 5 16 1 0 2 1
TH-L34S3 1 0 34 134 3 3 5 17 1 0 2 1
TH-L34S3 1 0 35 135 3 3 5 18 1 0 2 1
TH-L34S3 1 0 0 136 4 0 3 27 1 0 2 1
TH-L34S3 1 0 1 137 4 0 3 26 1 0 2 1
TH-L34S3 1 0 5 141 4 0 3 25 1 0 2 1
TH-L34S3 1 0 6 142 4 0 4 25 1 0 2 1
TH-L34S3 1 0 7 143 4 0 4 26 1 0 2 1
TH-L34S3 1 0 8 144 4 0 4 27 1 0 2 1
TH-L34S3 1 0 9 145 4 1 3 23 1 0 2 1
TH-L34S3 1 0 10 146 4 1 3 22 1 0 2 1
TH-L34S3 1 0 14 150 4 1 3 24 1 0 2 1
TH-L34S3 1 0 15 151 4 1 4 24 1 0 2 1
TH-L34S3 1 0 16 152 4 1 4 23 1 0 2 1
TH-L34S3 1 0 17 153 4 1 4 22 1 0 2 1
TH-L34S3 1 0 18 154 4 2 3 21 1 0 2 1
TH-L34S3 1 0 19 155 4 2 3 20 1 0 2 1
TH-L34S3 1 0 23 159 4 2 3 19 1 0 2 1
TH-L34S3 1 0 24 160 4 2 4 19 1 0 2 1
TH-L34S3 1 0 25 161 4 2 4 20 1 0 2 1
TH-L34S3 1 0 26 162 4 2 4 21 1 0 2 1
TH-L34S3 1 0 27 163 4 3 3 17 1 0 2 1
TH-L34S3 1 0 28 164 4 3 3 16 1 0 2 1
TH-L34S3 1 0 32 168 4 3 3 18 1 0 2 1
TH-L34S3 1 0 33 169 4 3 4 18 1 0 2 1
TH-L34S3 1 0 34 170 4 3 4 17 1 0 2 1
TH-L34S3 1 0 35 171 4 3 4 16 1 0 2 1
TH-L34S3 1 1 0 36 2 0 8 27 1 0 1 2
TH-L34S3 1 1 1 37 2 0 8 26 1 0 1 2
TH-L34S3 1 1 2 38 2 0 7 26 1 0 1 2
TH-L34S3 1 1 3 39 2 0 7 27 1 0 1 2
TH-L34S3 1 1 4 40 2 0 7 25 1 0 1 2
TH-L34S3 1 1 5 41 2 0 8 25 1 0 1 2
TH-L34S3 1 1 9 45 2 1 8 23 1 0 1 2
TH-L34S3 1 1 10 46 2 1 8 22 1 0 1 2
TH-L34S3 1 1 11 47 2 1 7 22 1 0 1 2
TH-L34S3 1 1 12 48 2 1 7 23 1 0 1 2
TH-L34S3 1 1 13 49 2 1 7 24 1 0 1 2
TH-L34S3 1 1 14 50 2 1 8 24 1 0 1 2
TH-L34S3 1 1 18 54 2 2 8 21 1 0 1 2
TH-L34S3 1 1 19 55 2 2 8 20 1 0 1 2
TH-L34S3 1 1 20 56 2 2 7 20 1 0 1 2
TH-L34S3 1 1 21 57 2 2 7 21 1 0 1 2
TH-L34S3 1 1 22 58 2 2 7 19 1 0 1 2
TH-L34S3 1 1 23 59 2 2 8 19 1 0 1 2
TH-L34S3 1 1 27 63 2 3 8 17 1 0 1 2
TH-L34S3 1 1 28 64 2 3 8 16 1 0 1 2
TH-L34S3 1 1 29 65 2 3 7 16 1 0 1 2
TH-L34S3 1 1 30 66 2 3 7 17 1 0 1 2
TH-L34S3 1 1 31 67 2 3 7 18 1 0 1 2
TH-L34S3 1 1 32 68 2 3 8 18 1 0 1 2
TH-L34S3 1 1 0 100 3 0 6 26 1 0 1 2
TH-L34S3 1 1 2 102 3 0 6 27 1 0 1 2
TH-L34S3 1 1 4 104 3 0 6 25 1 0 1 2
TH-L34S3 1 1 9 109 3 1 6 23 1 0 1 2
TH-L34S3 1 1 10 110 3 1 6 22 1 0 1 2
TH-L34S3 1 1 13 113 3 1 6 24 1 0 1 2
TH-L34S3 1 1 18 118 3 2 6 21 1 0 1 2
TH-L34S3 1 1 19 119 3 2 6 20 1 0 1 2
TH-L34S3 1 1 22 122 3 2 6 19 1 0 1 2
TH-L34S3 1 1 27 127 3 3 6 17 1 0 1 2
TH-L34S3 1 1 28 128 3 3 6 16 1 0 1 2
TH-L34S3 1 1 31 131 3 3 6 18 1 0 1 2
TH-L34S3 2 0 0 0 1 0 2 26 1 0 2 2
TH-L34S3 2 0 1 1 1 0 1 26 1 0 2 2
TH-L34S3 2 0 2 2 1 0 2 27 1 0 2 2
TH-L34S3 2 0 3 3 1 0 1 27 1 0 2 2
TH-L34S3 2 0 4 4 1 0 2 25 1 0 2 2
TH-L34S3 2 0 5 5 1 0 1 25 1 0 2 2
TH-L34S3 2 0 6 6 1 0 0 27 1 0 2 2
TH-L34S3 2 0 7 7 1 0 0 26 1 0 2 2
TH-L34S3 2 0 8 8 1 0 0 25 1 0 2 2
TH-L34S3 2 0 9 9 1 1 2 23 1 0 2 2
TH-L34S3 2 0 10 10 1 1 2 22 1 0 2 2
TH-L34S3 2 0 11 11 1 1 1 22 1 0 2 2
TH-L34S3 2 0 12 12 1 1 1 23 1 0 2 2
TH-L34S3 2 0 13 13 1 1 2 24 1 0 2 2
TH-L34S3 2 0 14 14 1 1 1 24 1 0 2 2
TH-L34S3 2 0 15 15 1 1 0 22 1 0 2 2
TH-L34S3 2 0 16 16 1 1 0 23 1 0 2 2
TH-L34S3 2 0 17 17 1 1 0 24 1 0 2 2
TH-L34S3 2 0 18 18 1 2 2 21 1 0 2 2
TH-L34S3 2 0 19 19 1 2 2 20 1 0 2 2
TH-L34S3 2 0 20 20 1 2 1 20 1 0 2 2
TH-L34S3 2 0 21 21 1 2 1 21 1 0 2 2
TH-L34S3 2 0 22 22 1 2 2 19 1 0 2 2
TH-L34S3 2 0 23 23 1 2 1 19 1 0 2 2
TH-L34S3 2 0 24 24 1 2 0 21 1 0 2 2
TH-L34S3 2 0 25 25 1 2 0 20 1 0 2 2
TH-L34S3 2 0 26 26 1 2 0 19 1 0 2 2
TH-L34S3 2 0 27 27 1 3 2 17 1 0 2 2
TH-L34S3 2 0 28 28 1 3 2 16 1 0 2 2
TH-L34S3 2 0 29 29 1 3 1 16 1 0 2 2
TH-L34S3 2 0 30 30 1 3 1 17 1 0 2 2
TH-L34S3 2 0 31 31 1 3 2 18 1 0 2 2
TH-L34S3 2 0 32 32 1 3 1 18 1 0 2 2
TH-L34S3 2 0 33 33 1 3 0 16 1 0 2 2
TH-L34S3 2 0 34 34 1 3 0 17 1 0 2 2
TH-L34S3 2 0 35 35 1 3 0 18 1 0 2 2
TH-L34S3 2 1 0 36 2 0 14 27 1 0 1 2
TH-L34S3 2 1 1 37 2 0 14 26 1 0 1 2
TH-L34S3 2 1 2 38 2 0 13 26 1 0 1 2
TH-L34S3 2 1 3 39 2 0 13 27 1 0 1 2
TH-L34S3 2 1 4 40 2 0 13 25 1 0 1 2
TH-L34S3 2 1 5 41 2 0 14 25 1 0 1 2
TH-L34S3 2 1 9 45 2 1 14 23 1 0 1 2
TH-L34S3 2 1 10 46 2 1 14 22 1 0 1 2
TH-L34S3 2 1 11 47 2 1 13 22 1 0 1 2
TH-L34S3 2 1 12 48 2 1 13 23 1 0 1 2
TH-L34S3 2 1 13 49 2 1 13 24 1 0 1 2
TH-L34S3 2 1 14 50 2 1 14 24 1 0 1 2
TH-L34S3 2 1 18 54 2 2 14 21 1 0 1 2
TH-L34S3 2 1 19 55 2 2 14 20 1 0 1 2
TH-L34S3 2 1 20 56 2 2 13 20 1 0 1 2
TH-L34S3 2 1 21 57 2 2 13 21 1 0 1 2
TH-L34S3 2 1 22 58 2 2 13 19 1 0 1 2
TH-L34S3 2 1 23 59 2 2 14 19 1 0 1 2
TH-L34S3 2 1 27 63 2 3 14 17 1 0 1 2
TH-L34S3 2 1 28 64 2 3 14 16 1 0 1 2
TH-L34S3 2 1 29 65 2 3 13 16 1 0 1 2
TH-L34S3 2 1 30 66 2 3 13 17 1 0 1 2
TH-L34S3 2 1 31 67 2 3 13 18 1 0 1 2
TH-L34S3 2 1 32 68 2 3 14 18 1 0 1 2
TH-L34S3 2 1 0 100 3 0 12 26 1 0 1 2
TH-L34S3 2 1 2 102 3 0 12 27 1 0 1 2
TH-L34S3 2 1 4 104 3 0 12 25 1 0 1 2
TH-L34S3 2 1 9 109 3 1 12 23 1 0 1 2
TH-L34S3 2 1 10 110 3 1 12 22 1 0 1 2
TH-L34S3 2 1 13 113 3 1 12 24 1 0 1 2
TH-L34S3 2 1 18 118 3 2 12 21 1 0 1 2
TH-L34S3 2 1 19 119 3 2 12 20 1 0 1 2
TH-L34S3 2 1 22 122 3 2 12 19 1 0 1 2
TH-L34S3 2 1 27 127 3 3 12 17 1 0 1 2
TH-L34S3 2 1 28 128 3 3 12 16 1 0 1 2
TH-L34S3 2 1 31 131 3 3 12 18 1 0 1 2
TH-L35S1 0 0 0 0 1 0 19 10 1 0 1 1
TH-L35S1 0 0 1 1 1 0 18 10 1 0 1 1
TH-L35S1 0 0 2 2 1 0 19 11 1 0 1 1
TH-L35S1 0 0 3 3 1 0 18 11 1 0 1 1
TH-L35S1 0 0 4 4 1 0 19 9 1 0 1 1
TH-L35S1 0 0 5 5 1 0 18 9 1 0 1 1
TH-L35S1 0 0 6 6 1 0 17 11 1 0 1 1
TH-L35S1 0 0 7 7 1 0 17 10 1 0 1 1
TH-L35S1 0 0 8 8 1 0 17 9 1 0 1 1
TH-L35S1 0 0 9 9 1 1 19 7 1 0 1 1
TH-L35S1 0 0 10 10 1 1 19 6 1 0 1 1
TH-L35S1 0 0 11 11 1 1 18 6 1 0 1 1
TH-L35S1 0 0 12 12 1 1 18 7 1 0 1 1
TH-L35S1 0 0 13 13 1 1 19 8 1 0 1 1
TH-L35S1 0 0 14 14 1 1 18 8 1 0 1 1
TH-L35S1 0 0 15 15 1 1 17 6 1 0 1 1
TH-L35S1 0 0 16 16 1 1 17 7 1 0 1 1
TH-L35S1 0 0 17 17 1 1 17 8 1 0 1 1
TH-L35S1 0 0 18 18 1 2 19 5 1 0 1 1
TH-L35S1 0 0 19 19 1 2 19 4 1 0 1 1
TH-L35S1 0 0 20 20 1 2 18 4 1 0 1 1
TH-L35S1 0 0 21 21 1 2 18 5 1 0 1 1
TH-L35S1 0 0 22 22 1 2 19 3 1 0 1 1
TH-L35S1 0 0 23 23 1 2 18 3 1 0 1 1
TH-L35S1 0 0 24 24 1 2 17 5 1 0 1 1
TH-L35S1 0 0 25 25 1 2 17 4 1 0 1 1
TH-L35S1 0 0 26 26 1 2 17 3 1 0 1 1
TH-L35S1 0 0 27 27 1 3 19 1 1 0 1 1
TH-L35S1 0 0 28 28 1 3 19 0 1 0 1 1
TH-L35S1 0 0 29 29 1 3 18 0 1 0 1 1
TH-L35S1 0 0 30 30 1 3 18 1 1 0 1 1
TH-L35S1 0 0 31 31 1 3 19 2 1 0 1 1
TH-L35S1 0 0 32 32 1 3 18 2 1 0 1 1
TH-L35S1 0 0 33 33 1 3 17 0 1 0 1 1
TH-L35S1 0 0 34 34 1 3 17 1 1 0 1 1
TH-L35S1 0 0 35 35 1 3 17 2 1 0 1 1
TH-L35S1 0 1 6 106 3 0 13 11 1 0 2 1
TH-L35S1 0 1 7 107 3 0 13 10 1 0 2 1
TH-L35S1 0 1 8 108 3 0 13 9 1 0 2 1
TH-L35S1 0 1 15 115 3 1 13 6 1 0 2 1
TH-L35S1 0 1 16 116 3 1 13 7 1 0 2 1
TH-L35S1 0 1 17 117 3 1 13 8 1 0 2 1
TH-L35S1 0 1 24 124 3 2 13 5 1 0 2 1
TH-L35S1 0 1 25 125 3 2 13 4 1 0 2 1
TH-L35S1 0 1 26 126 3 2 13 3 1 0 2 1
TH-L35S1 0 1 33 133 3 3 13 0 1 0 2 1
TH-L35S1 0 1 34 134 3 3 13 1 1 0 2 1
TH-L35S1 0 1 35 135 3 3 13 2 1 0 2 1
TH-L35S1 0 1 6 142 4 0 12 9 1 0 2 1
TH-L35S1 0 1 7 143 4 0 12 10 1 0 2 1
TH-L35S1 0 1 8 144 4 0 12 11 1 0 2 1
TH-L35S1 0 1 15 151 4 1 12 8 1 0 2 1
TH-L35S1 0 1 16 152 4 1 12 7 1 0 2 1
TH-L35S1 0 1 17 153 4 1 12 6 1 0 2 1
TH-L35S1 0 1 24 160 4 2 12 3 1 0 2 1
TH-L35S1 0 1 25 161 4 2 12 4 1 0 2 1
TH-L35S1 0 1 26 162 4 2 12 5 1 0 2 1
TH-L35S1 0 1 33 169 4 3 12 2 1 0 2 1
TH-L35S1 0 1 34 170 4 3 12 1 1 0 2 1
TH-L35S1 0 1 35 171 4 3 12 0 1 0 2 1
TH-L35S1 1 0 0 0 1 0 11 10 1 0 1 1
TH-L35S1 1 0 1 1 1 0 10 10 1 0 1 1
TH-L35S1 1 0 2 2 1 0 11 11 1 0 1 1
TH-L35S1 1 0 3 3 1 0 10 11 1 0 1 1
TH-L35S1 1 0 4 4 1 0 11 9 1 0 1 1
TH-L35S1 1 0 5 5 1 0 10 9 1 0 1 1
TH-L35S1 1 0 6 6 1 0 9 11 1 0 1 1
TH-L35S1 1 0 7 7 1 0 9 10 1 0 1 1
TH-L35S1 1 0 8 8 1 0 9 9 1 0 1 1
TH-L35S1 1 0 9 9 1 1 11 7 1 0 1 1
TH-L35S1 1 0 10 10 1 1 11 6 1 0 1 1
TH-L35S1 1 0 11 11 1 1 10 6 1 0 1 1
TH-L35S1 1 0 12 12 1 1 10 7 1 0 1 1
TH-L35S1 1 0 13 13 1 1 11 8 1 0 1 1
TH-L35S1 1 0 14 14 1 1 10 8 1 0 1 1
TH-L35S1 1 0 15 15 1 1 9 6 1 0 1 1
TH-L35S1 1 0 16 16 1 1 9 7 1 0 1 1
TH-L35S1 1 0 17 17 1 1 9 8 1 0 1 1
TH-L35S1 1 0 18 18 1 2 11 5 1 0 1 1
TH-L35S1 1 0 19 19 1 2 11 4 1 0 1 1
TH-L35S1 1 0 20 20 1 2 10 4 1 0 1 1
TH-L35S1 1 0 21 21 1 2 10 5 1 0 1 1
TH-L35S1 1 0 22 22 1 2 11 3 1 0 1 1
TH-L35S1 1 0 23 23 1 2 10 3 1 0 1 1
TH-L35S1 1 0 24 24 1 2 9 5 1 0 1 1
TH-L35S1 1 0 25 25 1 2 9 4 1 0 1 1
TH-L35S1 1 0 26 26 1 2 9 3 1 0 1 1
TH-L35S1 1 0 27 27 1 3 11 1 1 0 1 1
TH-L35S1 1 0 28 28 1 3 11 0 1 0 1 1
TH-L35S1 1 0 29 29 1 3 10 0 1 0 1 1
TH-L35S1 1 0 30 30 1 3 10 1 1 0 1 1
TH-L35S1 1 0 31 31 1 3 11 2 1 0 1 1
TH-L35S1 1 0 32 32 1 3 10 2 1 0 1 1
TH-L35S1 1 0 33 33 1 3 9 0 1 0 1 1
TH-L35S1 1 0 34 34 1 3 9 1 1 0 1 1
TH-L35S1 1 0 35 35 1 3 9 2 1 0 1 1
TH-L35S1 1 1 6 106 3 0 5 11 1 0 2 1
TH-L35S1 1 1 7 107 3 0 5 10 1 0 2 1
TH-L35S1 1 1 8 108 3 0 5 9 1 0 2 1
TH-L35S1 1 1 15 115 3 1 5 6 1 0 2 1
TH-L35S1 1 1 16 116 3 1 5 7 1 0 2 1
TH-L35S1 1 1 17 117 3 1 5 8 1 0 2 1
TH-L35S1 1 1 24 124 3 2 5 5 1 0 2 1
TH-L35S1 1 1 25 125 3 2 5 4 1 0 2 1
TH-L35S1 1 1 26 126 3 2 5 3 1 0 2 1
TH-L35S1 1 1 33 133 3 3 5 0 1 0 2 1
TH-L35S1 1 1 34 134 3 3 5 1 1 0 2 1
TH-L35S1 1 1 35 135 3 3 5 2 1 0 2 1
TH-L35S1 1 1 0 136 4 0 3 11 1 0 2 1
TH-L35S1 1 1 1 137 4 0 3 10 1 0 2 1
TH-L35S1 1 1 5 141 4 0 3 9 1 0 2 1
TH-L35S1 1 1 6 142 4 0 4 9 1 0 2 1
TH-L35S1 1 1 7 143 4 0 4 10 1 0 2 1
TH-L35S1 1 1 8 144 4 0 4 11 1 0 2 1
TH-L35S1 1 1 9 145 4 1 3 7 1 0 2 1
TH-L35S1 1 1 10 146 4 1 3 6 1 0 2 1
TH-L35S1 1 1 14 150 4 1 3 8 1 0 2 1
TH-L35S1 1 1 15 151 4 1 4 8 1 0 2 1
TH-L35S1 1 1 16 152 4 1 4 7 1 0 2 1
TH-L35S1 1 1 17 153 4 1 4 6 1 0 2 1
TH-L35S1 1 1 18 154 4 2 3 5 1 0 2 1
TH-L35S1 1 1 19 155 4 2 3 4 1 0 2 1
TH-L35S1 1 1 23 159 4 2 3 3 1 0 2 1
TH-L35S1 1 1 24 160 4 2 4 3 1 0 2 1
TH-L35S1 1 1 25 161 4 2 4 4 1 0 2 1
TH-L35S1 1 1 26 162 4 2 4 5 1 0 2 1
TH-L35S1 1 1 27 163 4 3 3 1 1 0 2 1
TH-L35S1 1 1 28 164 4 3 3 0 1 0 2 1
TH-L35S1 1 1 32 168 4 3 3 2 1 0 2 1
TH-L35S1 1 1 33 169 4 3 4 2 1 0 2 1
TH-L35S1 1 1 34 170 4 3 4 1 1 0 2 1
TH-L35S1 1 1 35 171 4 3 4 0 1 0 2 1
TH-L35S1 2 0 0 36 2 0 8 11 1 0 1 2
TH-L35S1 2 0 1 37 2 0 8 10 1 0 1 2
TH-L35S1 2 0 2 38 2 0 7 10 1 0 1 2
TH-L35S1 2 0 3 39 2 0 7 11 1 0 1 2
TH-L35S1 2 0 4 40 2 0 7 9 1 0 1 2
TH-L35S1 2 0 5 41 2 0 8 9 1 0 1 2
TH-L35S1 2 0 9 45 2 1 8 7 1 0 1 2
TH-L35S1 2 0 10 46 2 1 8 6 1 0 1 2
TH-L35S1 2 0 11 47 2 1 7 6 1 0 1 2
TH-L35S1 2 0 12 48 2 1 7 7 1 0 1 2
TH-L35S1 2 0 13 49 2 1 7 8 1 0 1 2
TH-L35S1 2 0 14 50 2 1 8 8 1 0 1 2
TH-L35S1 2 0 18 54 2 2 8 5 1 0 1 2
TH-L35S1 2 0 19 55 2 2 8 4 1 0 1 2
TH-L35S1 2 0 20 56 2 2 7 4 1 0 1 2
TH-L35S1 2 0 21 57 2 2 7 5 1 0 1 2
TH-L35S1 2 0 22 58 2 2 7 3 1 0 1 2
TH-L35S1 2 0 23 59 2 2 8 3 1 0 1 2
TH-L35S1 2 0 27 63 2 3 8 1 1 0 1 2
TH-L35S1 2 0 28 64 2 3 8 0 1 0 1 2
TH-L35S1 2 0 29 65 2 3 7 0 1 0 1 2
TH-L35S1 2 0 30 66 2 3 7 1 1 0 1 2
TH-L35S1 2 0 31 67 2 3 7 2 1 0 1 2
TH-L35S1 2 0 32 68 2 3 8 2 1 0 1 2
TH-L35S1 2 0 0 100 3 0 6 10 1 0 1 2
TH-L35S1 2 0 2 102 3 0 6 11 1 0 1 2
TH-L35S1 2 0 4 104 3 0 6 9 1 0 1 2
TH-L35S1 2 0 9 109 3 1 6 7 1 0 1 2
TH-L35S1 2 0 10 110 3 1 6 6 1 0 1 2
TH-L35S1 2 0 13 113 3 1 6 8 1 0 1 2
TH-L35S1 2 0 18 118 3 2 6 5 1 0 1 2
TH-L35S1 2 0 19 119 3 2 6 4 1 0 1 2
TH-L35S1 2 0 22 122 3 2 6 3 1 0 1 2
TH-L35S1 2 0 27 127 3 3 6 1 1 0 1 2
TH-L35S1 2 0 28 128 3 3 6 0 1 0 1 2
TH-L35S1 2 0 31 131 3 3 6 2 1 0 1 2
TH-L35S1 2 1 0 0 1 0 2 10 1 0 2 2
TH-L35S1 2 1 1 1 1 0 1 10 1 0 2 2
TH-L35S1 2 1 2 2 1 0 2 11 1 0 2 2
TH-L35S1 2 1 3 3 1 0 1 11 1 0 2 2
TH-L35S1 2 1 4 4 1 0 2 9 1 0 2 2
TH-L35S1 2 1 5 5 1 0 1 9 1 0 2 2
TH-L35S1 2 1 6 6 1 0 0 11 1 0 2 2
TH-L35S1 2 1 7 7 1 0 0 10 1 0 2 2
TH-L35S1 2 1 8 8 1 0 0 9 1 0 2 2
TH-L35S1 2 1 9 9 1 1 2 7 1 0 2 2
TH-L35S1 2 1 10 10 1 1 2 6 1 0 2 2
TH-L35S1 2 1 11 11 1 1 1 6 1 0 2 2
TH-L35S1 2 1 12 12 1 1 1 7 1 0 2 2
TH-L35S1 2 1 13 13 1 1 2 8 1 0 2 2
TH-L35S1 2 1 14 14 1 1 1 8 1 0 2 2
TH-L35S1 2 1 15 15 1 1 0 6 1 0 2 2
TH-L35S1 2 1 16 16 1 1 0 7 1 0 2 2
TH-L35S1 2 1 17 17 1 1 0 8 1 0 2 2
TH-L35S1 2 1 18 18 1 2 2 5 1 0 2 2
TH-L35S1 2 1 19 19 1 2 2 4 1 0 2 2
TH-L35S1 2 1 20 20 1 2 1 4 1 0 2 2
TH-L35S1 2 1 21 21 1 2 1 5 1 0 2 2
TH-L35S1 2 1 22 22 1 2 2 3 1 0 2 2
TH-L35S1 2 1 23 23 1 2 1 3 1 0 2 2
TH-L35S1 2 1 24 24 1 2 0 5 1 0 2 2
TH-L35S1 2 1 25 25 1 2 0 4 1 0 2 2
TH-L35S1 2 1 26 26 1 2 0 3 1 0 2 2
TH-L35S1 2 1 27 27 1 3 2 1 1 0 2 2
TH-L35S1 2 1 28 28 1 3 2 0 1 0 2 2
TH-L35S1 2 1 29 29 1 3 1 0 1 0 2 2
TH-L35S1 2 1 30 30 1 3 1 1 1 0 2 2
TH-L35S1 2 1 31 31 1 3 2 2 1 0 2 2
TH-L35S1 2 1 32 32 1 3 1 2 1 0 2 2
TH-L35S1 2 1 33 33 1 3 0 0 1 0 2 2
TH-L35S1 2 1 34 34 1 3 0 1 1 0 2 2
TH-L35S1 2 1 35 35 1 3 0 2 1 0 2 2
TH-L35S1 3 0 0 36 2 0 16 11 1 0 1 2
TH-L35S1 3 0 1 37 2 0 16 10 1 0 1 2
TH-L35S1 3 0 2 38 2 0 15 10 1 0 1 2
TH-L35S1 3 0 3 39 2 0 15 11 1 0 1 2
TH-L35S1 3 0 4 40 2 0 15 9 1 0 1 2
TH-L35S1 3 0 5 41 2 0 16 9 1 0 1 2
TH-L35S1 3 0 9 45 2 1 16 7 1 0 1 2
TH-L35S1 3 0 10 46 2 1 16 6 1 0 1 2
